group,function,value,sample_time_nanos,iteration_count
Tokenization,SingleFindRegexTokenizer,,125847.0,114
Tokenization,SingleFindRegexTokenizer,,116223.0,115
Tokenization,SingleFindRegexTokenizer,,117034.0,116
Tokenization,SingleFindRegexTokenizer,,118151.0,117
Tokenization,SingleFindRegexTokenizer,,119065.0,118
Tokenization,SingleFindRegexTokenizer,,120293.0,119
Tokenization,SingleFindRegexTokenizer,,121392.0,120
Tokenization,SingleFindRegexTokenizer,,122285.0,121
Tokenization,SingleFindRegexTokenizer,,123587.0,122
Tokenization,SingleFindRegexTokenizer,,194406.0,123
Tokenization,SingleFindRegexTokenizer,,126211.0,124
Tokenization,SingleFindRegexTokenizer,,126124.0,125
Tokenization,SingleFindRegexTokenizer,,126962.0,126
Tokenization,SingleFindRegexTokenizer,,128125.0,127
Tokenization,SingleFindRegexTokenizer,,128867.0,128
Tokenization,SingleFindRegexTokenizer,,129776.0,129
Tokenization,SingleFindRegexTokenizer,,130706.0,130
Tokenization,SingleFindRegexTokenizer,,131506.0,131
Tokenization,SingleFindRegexTokenizer,,132802.0,132
Tokenization,SingleFindRegexTokenizer,,133801.0,133
Tokenization,SingleFindRegexTokenizer,,134783.0,134
Tokenization,SingleFindRegexTokenizer,,135709.0,135
Tokenization,SingleFindRegexTokenizer,,139435.0,136
Tokenization,SingleFindRegexTokenizer,,136549.0,137
Tokenization,SingleFindRegexTokenizer,,137765.0,138
Tokenization,SingleFindRegexTokenizer,,138681.0,139
Tokenization,SingleFindRegexTokenizer,,139469.0,140
Tokenization,SingleFindRegexTokenizer,,140188.0,141
Tokenization,SingleFindRegexTokenizer,,141356.0,142
Tokenization,SingleFindRegexTokenizer,,148228.0,143
Tokenization,SingleFindRegexTokenizer,,143613.0,144
Tokenization,SingleFindRegexTokenizer,,144511.0,145
Tokenization,SingleFindRegexTokenizer,,145886.0,146
Tokenization,SingleFindRegexTokenizer,,146807.0,147
Tokenization,SingleFindRegexTokenizer,,147629.0,148
Tokenization,SingleFindRegexTokenizer,,148959.0,149
Tokenization,SingleFindRegexTokenizer,,149718.0,150
Tokenization,SingleFindRegexTokenizer,,159963.0,151
Tokenization,SingleFindRegexTokenizer,,152184.0,152
Tokenization,SingleFindRegexTokenizer,,162735.0,153
Tokenization,SingleFindRegexTokenizer,,153930.0,154
Tokenization,SingleFindRegexTokenizer,,154492.0,155
Tokenization,SingleFindRegexTokenizer,,155587.0,156
Tokenization,SingleFindRegexTokenizer,,156834.0,157
Tokenization,SingleFindRegexTokenizer,,157640.0,158
Tokenization,SingleFindRegexTokenizer,,159384.0,159
Tokenization,SingleFindRegexTokenizer,,159386.0,160
Tokenization,SingleFindRegexTokenizer,,163678.0,161
Tokenization,SingleFindRegexTokenizer,,167131.0,162
Tokenization,SingleFindRegexTokenizer,,164045.0,163
Tokenization,SingleFindRegexTokenizer,,164891.0,164
Tokenization,SingleFindRegexTokenizer,,232825.0,165
Tokenization,SingleFindRegexTokenizer,,166940.0,166
Tokenization,SingleFindRegexTokenizer,,167988.0,167
Tokenization,SingleFindRegexTokenizer,,168174.0,168
Tokenization,SingleFindRegexTokenizer,,169772.0,169
Tokenization,SingleFindRegexTokenizer,,170622.0,170
Tokenization,SingleFindRegexTokenizer,,171132.0,171
Tokenization,SingleFindRegexTokenizer,,172697.0,172
Tokenization,SingleFindRegexTokenizer,,173497.0,173
Tokenization,SingleFindRegexTokenizer,,174390.0,174
Tokenization,SingleFindRegexTokenizer,,175444.0,175
Tokenization,SingleFindRegexTokenizer,,176239.0,176
Tokenization,SingleFindRegexTokenizer,,283088.0,177
Tokenization,SingleFindRegexTokenizer,,325379.0,178
Tokenization,SingleFindRegexTokenizer,,204077.0,179
Tokenization,SingleFindRegexTokenizer,,181709.0,180
Tokenization,SingleFindRegexTokenizer,,181324.0,181
Tokenization,SingleFindRegexTokenizer,,181474.0,182
Tokenization,SingleFindRegexTokenizer,,182372.0,183
Tokenization,SingleFindRegexTokenizer,,183129.0,184
Tokenization,SingleFindRegexTokenizer,,184157.0,185
Tokenization,SingleFindRegexTokenizer,,185553.0,186
Tokenization,SingleFindRegexTokenizer,,186688.0,187
Tokenization,SingleFindRegexTokenizer,,186786.0,188
Tokenization,SingleFindRegexTokenizer,,188628.0,189
Tokenization,SingleFindRegexTokenizer,,189993.0,190
Tokenization,SingleFindRegexTokenizer,,191131.0,191
Tokenization,SingleFindRegexTokenizer,,191924.0,192
Tokenization,SingleFindRegexTokenizer,,192808.0,193
Tokenization,SingleFindRegexTokenizer,,193039.0,194
Tokenization,SingleFindRegexTokenizer,,193472.0,195
Tokenization,SingleFindRegexTokenizer,,195712.0,196
Tokenization,SingleFindRegexTokenizer,,196620.0,197
Tokenization,SingleFindRegexTokenizer,,198332.0,198
Tokenization,SingleFindRegexTokenizer,,198755.0,199
Tokenization,SingleFindRegexTokenizer,,246511.0,200
Tokenization,SingleFindRegexTokenizer,,319226.0,201
Tokenization,SingleFindRegexTokenizer,,252216.0,202
Tokenization,SingleFindRegexTokenizer,,205853.0,203
