group,function,value,sample_time_nanos,iteration_count
Tokenization,Nom4FoldIterator,,3054.0,1
Tokenization,Nom4FoldIterator,,2088.0,2
Tokenization,Nom4FoldIterator,,3276.0,3
Tokenization,Nom4FoldIterator,,3425.0,4
Tokenization,Nom4FoldIterator,,4097.0,5
Tokenization,Nom4FoldIterator,,6484.0,6
Tokenization,Nom4FoldIterator,,5832.0,7
Tokenization,Nom4FoldIterator,,6449.0,8
Tokenization,Nom4FoldIterator,,7163.0,9
Tokenization,Nom4FoldIterator,,7909.0,10
Tokenization,Nom4FoldIterator,,9105.0,11
Tokenization,Nom4FoldIterator,,9880.0,12
Tokenization,Nom4FoldIterator,,10581.0,13
Tokenization,Nom4FoldIterator,,11059.0,14
Tokenization,Nom4FoldIterator,,11818.0,15
Tokenization,Nom4FoldIterator,,12478.0,16
Tokenization,Nom4FoldIterator,,13180.0,17
Tokenization,Nom4FoldIterator,,13834.0,18
Tokenization,Nom4FoldIterator,,14728.0,19
Tokenization,Nom4FoldIterator,,15395.0,20
Tokenization,Nom4FoldIterator,,16284.0,21
Tokenization,Nom4FoldIterator,,17001.0,22
Tokenization,Nom4FoldIterator,,17837.0,23
Tokenization,Nom4FoldIterator,,19084.0,24
Tokenization,Nom4FoldIterator,,19309.0,25
Tokenization,Nom4FoldIterator,,20040.0,26
Tokenization,Nom4FoldIterator,,20625.0,27
Tokenization,Nom4FoldIterator,,21380.0,28
Tokenization,Nom4FoldIterator,,22127.0,29
Tokenization,Nom4FoldIterator,,22770.0,30
Tokenization,Nom4FoldIterator,,23618.0,31
Tokenization,Nom4FoldIterator,,24312.0,32
Tokenization,Nom4FoldIterator,,25069.0,33
Tokenization,Nom4FoldIterator,,25806.0,34
Tokenization,Nom4FoldIterator,,26524.0,35
Tokenization,Nom4FoldIterator,,27236.0,36
Tokenization,Nom4FoldIterator,,27886.0,37
Tokenization,Nom4FoldIterator,,28721.0,38
Tokenization,Nom4FoldIterator,,29417.0,39
Tokenization,Nom4FoldIterator,,30106.0,40
Tokenization,Nom4FoldIterator,,31765.0,41
Tokenization,Nom4FoldIterator,,31985.0,42
Tokenization,Nom4FoldIterator,,32586.0,43
Tokenization,Nom4FoldIterator,,33434.0,44
Tokenization,Nom4FoldIterator,,33888.0,45
Tokenization,Nom4FoldIterator,,34633.0,46
Tokenization,Nom4FoldIterator,,37683.0,47
Tokenization,Nom4FoldIterator,,57596.0,48
Tokenization,Nom4FoldIterator,,46277.0,49
Tokenization,Nom4FoldIterator,,40540.0,50
Tokenization,Nom4FoldIterator,,43055.0,51
Tokenization,Nom4FoldIterator,,39401.0,52
Tokenization,Nom4FoldIterator,,39943.0,53
Tokenization,Nom4FoldIterator,,40364.0,54
Tokenization,Nom4FoldIterator,,41627.0,55
Tokenization,Nom4FoldIterator,,41942.0,56
Tokenization,Nom4FoldIterator,,42822.0,57
Tokenization,Nom4FoldIterator,,43555.0,58
Tokenization,Nom4FoldIterator,,44263.0,59
Tokenization,Nom4FoldIterator,,44828.0,60
Tokenization,Nom4FoldIterator,,45734.0,61
Tokenization,Nom4FoldIterator,,46146.0,62
Tokenization,Nom4FoldIterator,,47263.0,63
Tokenization,Nom4FoldIterator,,47842.0,64
Tokenization,Nom4FoldIterator,,48624.0,65
Tokenization,Nom4FoldIterator,,49313.0,66
Tokenization,Nom4FoldIterator,,51119.0,67
Tokenization,Nom4FoldIterator,,50728.0,68
Tokenization,Nom4FoldIterator,,51835.0,69
Tokenization,Nom4FoldIterator,,52935.0,70
Tokenization,Nom4FoldIterator,,53774.0,71
Tokenization,Nom4FoldIterator,,54081.0,72
Tokenization,Nom4FoldIterator,,54516.0,73
Tokenization,Nom4FoldIterator,,55315.0,74
Tokenization,Nom4FoldIterator,,56235.0,75
Tokenization,Nom4FoldIterator,,56670.0,76
Tokenization,Nom4FoldIterator,,57667.0,77
Tokenization,Nom4FoldIterator,,58196.0,78
Tokenization,Nom4FoldIterator,,59069.0,79
Tokenization,Nom4FoldIterator,,59760.0,80
Tokenization,Nom4FoldIterator,,60768.0,81
Tokenization,Nom4FoldIterator,,62068.0,82
Tokenization,Nom4FoldIterator,,62196.0,83
Tokenization,Nom4FoldIterator,,63079.0,84
Tokenization,Nom4FoldIterator,,63526.0,85
Tokenization,Nom4FoldIterator,,64312.0,86
Tokenization,Nom4FoldIterator,,65046.0,87
Tokenization,Nom4FoldIterator,,65793.0,88
Tokenization,Nom4FoldIterator,,66802.0,89
Tokenization,Nom4FoldIterator,,67554.0,90
Tokenization,Nom4FoldIterator,,68096.0,91
Tokenization,Nom4FoldIterator,,68758.0,92
Tokenization,Nom4FoldIterator,,69820.0,93
Tokenization,Nom4FoldIterator,,70049.0,94
Tokenization,Nom4FoldIterator,,70847.0,95
Tokenization,Nom4FoldIterator,,73251.0,96
Tokenization,Nom4FoldIterator,,74293.0,97
Tokenization,Nom4FoldIterator,,96848.0,98
Tokenization,Nom4FoldIterator,,75923.0,99
Tokenization,Nom4FoldIterator,,74981.0,100
Tokenization,Nom4FoldIterator,,75284.0,101
Tokenization,Nom4FoldIterator,,75893.0,102
Tokenization,Nom4FoldIterator,,77159.0,103
Tokenization,Nom4FoldIterator,,83938.0,104
Tokenization,Nom4FoldIterator,,78212.0,105
Tokenization,Nom4FoldIterator,,79107.0,106
Tokenization,Nom4FoldIterator,,79721.0,107
Tokenization,Nom4FoldIterator,,81889.0,108
Tokenization,Nom4FoldIterator,,81307.0,109
Tokenization,Nom4FoldIterator,,83614.0,110
Tokenization,Nom4FoldIterator,,82790.0,111
Tokenization,Nom4FoldIterator,,83595.0,112
Tokenization,Nom4FoldIterator,,84243.0,113
