group,function,value,sample_time_nanos,iteration_count
Tokenization,Nom4VecIterator,,3244.0,1
Tokenization,Nom4VecIterator,,2275.0,2
Tokenization,Nom4VecIterator,,2972.0,3
Tokenization,Nom4VecIterator,,3514.0,4
Tokenization,Nom4VecIterator,,4240.0,5
Tokenization,Nom4VecIterator,,6632.0,6
Tokenization,Nom4VecIterator,,6193.0,7
Tokenization,Nom4VecIterator,,6886.0,8
Tokenization,Nom4VecIterator,,7664.0,9
Tokenization,Nom4VecIterator,,8457.0,10
Tokenization,Nom4VecIterator,,9678.0,11
Tokenization,Nom4VecIterator,,10632.0,12
Tokenization,Nom4VecIterator,,11269.0,13
Tokenization,Nom4VecIterator,,11972.0,14
Tokenization,Nom4VecIterator,,12794.0,15
Tokenization,Nom4VecIterator,,13590.0,16
Tokenization,Nom4VecIterator,,14312.0,17
Tokenization,Nom4VecIterator,,40903.0,18
Tokenization,Nom4VecIterator,,57226.0,19
Tokenization,Nom4VecIterator,,44990.0,20
Tokenization,Nom4VecIterator,,19193.0,21
Tokenization,Nom4VecIterator,,44189.0,22
Tokenization,Nom4VecIterator,,20638.0,23
Tokenization,Nom4VecIterator,,20781.0,24
Tokenization,Nom4VecIterator,,26181.0,25
Tokenization,Nom4VecIterator,,35822.0,26
Tokenization,Nom4VecIterator,,22556.0,27
Tokenization,Nom4VecIterator,,23338.0,28
Tokenization,Nom4VecIterator,,24081.0,29
Tokenization,Nom4VecIterator,,24909.0,30
Tokenization,Nom4VecIterator,,25803.0,31
Tokenization,Nom4VecIterator,,26541.0,32
Tokenization,Nom4VecIterator,,27370.0,33
Tokenization,Nom4VecIterator,,28115.0,34
Tokenization,Nom4VecIterator,,29128.0,35
Tokenization,Nom4VecIterator,,29792.0,36
Tokenization,Nom4VecIterator,,30433.0,37
Tokenization,Nom4VecIterator,,31383.0,38
Tokenization,Nom4VecIterator,,32058.0,39
Tokenization,Nom4VecIterator,,32983.0,40
Tokenization,Nom4VecIterator,,33914.0,41
Tokenization,Nom4VecIterator,,35241.0,42
Tokenization,Nom4VecIterator,,35911.0,43
Tokenization,Nom4VecIterator,,36603.0,44
Tokenization,Nom4VecIterator,,39703.0,45
Tokenization,Nom4VecIterator,,38273.0,46
Tokenization,Nom4VecIterator,,38910.0,47
Tokenization,Nom4VecIterator,,39528.0,48
Tokenization,Nom4VecIterator,,40486.0,49
Tokenization,Nom4VecIterator,,41296.0,50
Tokenization,Nom4VecIterator,,42202.0,51
Tokenization,Nom4VecIterator,,42839.0,52
Tokenization,Nom4VecIterator,,43514.0,53
Tokenization,Nom4VecIterator,,44352.0,54
Tokenization,Nom4VecIterator,,45208.0,55
Tokenization,Nom4VecIterator,,45939.0,56
Tokenization,Nom4VecIterator,,47040.0,57
Tokenization,Nom4VecIterator,,47354.0,58
Tokenization,Nom4VecIterator,,48573.0,59
Tokenization,Nom4VecIterator,,49274.0,60
Tokenization,Nom4VecIterator,,50089.0,61
Tokenization,Nom4VecIterator,,54406.0,62
Tokenization,Nom4VecIterator,,51935.0,63
Tokenization,Nom4VecIterator,,54232.0,64
Tokenization,Nom4VecIterator,,54929.0,65
Tokenization,Nom4VecIterator,,54521.0,66
Tokenization,Nom4VecIterator,,54969.0,67
Tokenization,Nom4VecIterator,,57074.0,68
Tokenization,Nom4VecIterator,,56828.0,69
Tokenization,Nom4VecIterator,,57520.0,70
Tokenization,Nom4VecIterator,,58411.0,71
Tokenization,Nom4VecIterator,,58873.0,72
Tokenization,Nom4VecIterator,,60214.0,73
Tokenization,Nom4VecIterator,,60795.0,74
Tokenization,Nom4VecIterator,,62855.0,75
Tokenization,Nom4VecIterator,,62401.0,76
Tokenization,Nom4VecIterator,,62854.0,77
Tokenization,Nom4VecIterator,,63623.0,78
Tokenization,Nom4VecIterator,,64601.0,79
Tokenization,Nom4VecIterator,,65240.0,80
Tokenization,Nom4VecIterator,,66453.0,81
Tokenization,Nom4VecIterator,,68037.0,82
Tokenization,Nom4VecIterator,,68622.0,83
